date,sector,n_rows,n_terms,close,combined_compound,rsi,sentiment_rsi,macd,macd_signal,macd_histogram,combined_normalized_score_7,combined_normalized_score_21,combined_normalized_score_50,combined_normalized_score_100,combined_normalized_score_200,high_volume_7,high_volume_20,sector_rsi,sector_macd,sector_macd_signal,sector_macd_hist,sector_macd_divergence,rsi_z,macd_z,sentiment_z,macd_acceleration,divergence_bonus,ma_alignment,sector_strength_base,sector_strength_v2,level,term,mcap_status,mcap_scope,mcap_covered_terms,mcap_total_terms,mcap_coverage_pct,mcap_missing_terms
2026-05-20,Chips,1,1,223.47,0.13265078781801162,64.22278656502125,37.45401620594486,8.671049451353724,8.846323423452676,-0.17527397209895135,45.3674828796672,31.743813072859616,27.33625339660141,27.983489294401046,28.892080419590656,0,1,39.88027972073388,-0.017859750676355673,-0.01527344284482319,-0.002586307831532483,Bearish,-0.4205037053683436,-1.17032622617646,-0.8200434331501626,-0.00018895973667160115,-1.0,32.26462381262398,14.773604729179628,-0.7437394088049167,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-05-21,Chips,1,1,219.51,0.2144775488834728,60.12298885426741,44.803530012331954,8.026836381214821,8.682426015005104,-0.6555896337902833,54.562264536020805,38.162477559143376,32.13499862386402,30.926333710629038,30.749641675195143,1,1,53.74948754399461,-0.011276775220647295,-0.014474109319988012,0.0031973340993407175,Bullish,0.6272839295350869,-0.6362863663255884,0.6072346863621055,0.006582975455708379,1.0,37.307143220970474,19.233991468174214,0.2805780942565771,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-05-22,Chips,1,1,215.34,0.1702023377922609,56.06430452317913,45.81762150928471,7.097987549838565,8.365538321971798,-1.2675507721332337,55.082161836731636,39.18979993471094,32.54745280359506,30.656384329930365,30.0,1,1,51.19559831521897,-0.00952258878005341,-0.013483805212001094,0.003961216431947684,Bullish,0.4276039368565226,-0.4902049244546652,-0.17166648684727043,0.0017541864405938856,1.0,37.4951597809936,18.734559740043665,0.03302522569034262,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-05-23,Chips,1,1,,,56.06430452317913,45.81762150928471,7.097987549838565,8.112028167545152,-1.0140406177065877,55.082161836731636,39.18979993471094,32.54745280359506,30.656384329930365,30.0,1,1,45.11832454692259,-0.00952258878005341,-0.012691561925611558,0.003168973145558149,None,-0.04029974054042673,-0.4767526572255148,,0.0,0.0,37.4951597809936,,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-24,Cloud,4,4,282.60657731730356,0.17527540399782712,,,0.0,0.0,0.0,45.83338851578628,42.993098351563845,46.36849654667493,40.22944530523523,36.66680841450584,0,0,,0.0,0.0,0.0,None,,,,0.0,0.0,42.418247426753226,,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-25,Cloud,4,4,283.6614815975086,0.17046886325745003,,,0.0841519083924304,0.01683038167848608,0.06732152671394433,45.27770322143334,42.615175092972855,44.78802273094024,39.35530539441963,36.324032049777735,1,1,0.0,-0.0003834277513691253,-7.668555027382507e-05,-0.0003067422010953003,Bearish,,,,-0.0003834277513691253,-1.0,41.672047697908766,6.451844509148193,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-26,Cloud,4,4,276.4891059824895,0.10475164415495399,,,-0.4230314250724917,-0.07114197967170947,-0.3518894454007822,36.39441843299359,37.754328875489975,40.43355962335565,36.48594651164795,34.28923558945783,2,2,0.0,-0.005921863806898825,-0.0012457212015988253,-0.0046761426053,Bearish,,,,-0.0055384360555297,-1.0,37.071497806588994,5.698331940826006,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-27,Cloud,4,4,268.91955166833407,0.09516891732871664,,,-1.4194155042716972,-0.3407966845917071,-1.0786188196799904,28.1603519338574,32.53385064026368,35.754340683306864,33.089408209246095,31.93729863129376,3,3,0.0,-0.010958042756123054,-0.003188185512503671,-0.007769857243619383,Bearish,,,,-0.005036178949224229,-1.0,32.29505001959356,4.910647206415572,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-28,Cloud,4,4,,0.10413878402903463,,,-1.4194155042716972,-0.5565204485277051,-0.8628950557439921,23.951203504867166,29.09004233314179,33.09493892209449,30.945051643437743,30.16142602879967,3,3,10.069862944565159,-0.01406334410200133,-0.0053632172304032034,-0.008700126871598126,Bearish,,,,-0.0031053013458782752,-1.0,29.448532486468174,6.913904824497219,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-29,Cloud,4,4,,0.16642375831846992,,,-1.4194155042716972,-0.7290994596765036,-0.6903160445951936,27.481021519489115,29.54320492956491,33.031739376645824,30.764114115067844,29.909521794472298,3,3,47.07598835968626,-0.011367404539620513,-0.006564054692246666,-0.004803349847373847,Bullish,,,,0.002695939562380817,1.0,30.145920347047998,16.25588429363286,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-30,Cloud,4,4,269.3085873584123,0.1259338048192159,,,-2.5299619272201177,-1.0892719531852266,-1.4406899740348915,23.77959962198381,27.105078080190754,30.300442679703497,28.955825938466077,29.101023387825535,2,2,37.14066466464056,-0.01235562590761452,-0.0077223689353202365,-0.004633256972294284,Bearish,,,,-0.0009882213679940077,-1.0,27.848393941633937,13.391915803398575,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-03-31,Cloud,4,4,280.68691880580184,0.10420905278922905,,,-2.103633781867961,-1.2921443189217736,-0.8114894629461873,18.92670173165244,23.640719954989972,26.965723088677844,26.803967023334273,27.8885977893374,4,4,33.36275139401826,-0.014722097216467889,-0.009122314591549767,-0.005599782624918122,Bearish,,,,-0.0023664713088533684,-1.0,24.845141917598383,11.919588485925173,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-01,Cloud,4,4,285.65860747419794,0.11388881869219405,,,-1.3490410245619342,-1.303523660049806,-0.04551736451212845,17.11504874999233,21.141310522113773,24.085629704906772,24.568723488707523,26.494458198850996,1,1,36.251961750701824,-0.015636221933806288,-0.010425096060001072,-0.005211125873805216,Bearish,,,,-0.0009141247173383993,-1.0,22.681034132914277,12.27013904705134,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-02,Cloud,4,4,285.71599372098984,0.18029541712390873,,,-0.7378843656799472,-1.1903958011758342,0.45251143549588685,22.255707688067872,22.865290119755098,24.47666578529577,25.266425003283953,27.568718614743993,0,0,50.866528270326626,-0.010876833482082154,-0.010515443544417288,-0.00036138993766486605,Bullish,,,,0.004759388451724134,1.0,24.486561442229338,16.20680977316777,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-03,Cloud,4,4,,0.15792471973319336,,,-0.7378843656799472,-1.0998935140766568,0.3620091483967095,24.46456570923977,23.36024705006457,24.431198620593417,25.153862715459717,27.447621686852195,0,0,47.21973653636906,-0.008808572424496869,-0.010174069320433205,0.0013654968959363363,Bullish,,,,0.0020682610575852856,1.0,24.971499156441933,15.362042700402444,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-04,Cloud,4,4,,0.10337221960989447,,,-0.7378843656799472,-1.027491684397315,0.2896073187173677,21.69642407383881,20.595152447681194,21.65004831967613,22.466584669274223,25.041713192334846,0,0,40.19285190669933,-0.011439523771842819,-0.010427160210715129,-0.00101236356112769,Bearish,,,,-0.00263095134734595,-1.0,22.28998454056104,13.170806239747515,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-05,Cloud,4,4,,0.19557452206372208,,,-0.7378843656799472,-0.9695702206538415,0.2316858549738942,27.423686854710464,23.76992366693832,23.598270841055744,24.130718405235275,26.536782245994598,0,0,52.21225518119838,-0.006015276070206327,-0.00954478338261337,0.0035295073124070424,Bullish,,,,0.005424247701636492,1.0,25.091876402786877,16.685499609045095,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-06,Cloud,4,4,288.3305382272833,0.14655900319816476,,,0.4491497505243839,-0.6858262264181965,1.1349759769425805,28.636999619847597,23.213139373893657,21.84195346801215,22.591917954999275,25.450816031754098,0,0,47.172488420251184,-0.00560702907876684,-0.008757232521844063,0.003150203443077223,Bullish,,,,0.00040824699143948706,1.0,24.346965289701355,15.32498690499651,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-07,Cloud,4,4,291.046367986611,0.18773636827378182,,51.06141601154703,1.1256711502470935,-0.3235267510851385,1.4491979013322323,33.23005566361436,25.188512048447706,22.224937999374262,23.058721067127905,26.261044233486196,0,0,51.13491807886746,-0.0019384756284016036,-0.007393481143155571,0.0054550055147539675,Bullish,,,,0.003668553450365236,1.0,25.992654202410087,16.627229436972744,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-08,Cloud,4,4,298.7267464406672,0.14898629038691727,,50.061790690526216,2.255560885393328,0.19229077621055485,2.063270109182773,33.603379462491446,24.603444351508966,20.81452086470118,22.131119684269898,25.882037679352827,4,4,48.15734459981638,-0.0021333362536670175,-0.00634145216525786,0.004208115911590843,Bearish,,,,-0.00019486062526541392,-1.0,25.406900408464868,15.781464670252445,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-09,Cloud,4,4,302.0286129941653,0.18246404253026957,,51.74557720662023,3.3784944954263394,0.8295315200537119,2.548962975372627,37.44646644936378,26.383765888636606,21.066371289217848,22.923424224016223,26.982433696602246,4,2,57.05597749300917,0.00040889660411230766,-0.004991382411383827,0.005400279015496135,Bullish,,,,0.002542232857779325,1.0,26.960492309567343,18.285523895584408,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-10,Cloud,4,4,302.15265217201886,0.11329470543369395,,48.38837248397564,4.229679286757607,1.5095610733944909,2.7201182133631154,32.585275175360884,23.60869577680839,18.33293325226475,21.522986637020114,26.058455852067453,3,2,51.485059456070374,-0.0031217671828713267,-0.004617459365681327,0.0014956921828100005,Bearish,,,,-0.0035306637869836344,-1.0,24.421669338704316,16.45144193564493,,sector,,publishable,full_universe,63,64,0.984375,DXY
2026-04-11,Cloud,4,4,,0.24049785182914304,,54.12840277646018,4.229679286757607,2.053584716067114,2.176094570690492,41.65928024037904,28.875876190922963,21.99916345236723,24.502273858212863,28.52721431222824,3,2,59.35883186590563,0.004294878476341135,-0.0028349917972768346,0.00712987027361797,Bullish,,,,0.007416645659212462,1.0,29.112761610822066,19.256337362874138,,sector,,publishable,full_universe,63,64,0.984375,DXY
